Epoch,Anxiety,Asthma,Atrial Fibrillation,Breast Cancer,COVID-19,Cancer,Colorectal Cancer,Coronary Artery Disease,Covid19,Depression,Diabetes,"Diabetes Mellitus, Type 2",Healthy,Healthy Volunteers,Heart Failure,Hypertension,Obesity,Pain,Prostate Cancer,Stroke
1549015200000,9,9,8,17,,10,8,12,,15,10,12,38,12,10,8,14,9,8,16
1551434400000,15,9,15,24,,16,7,17,,21,6,14,42,13,10,13,36,16,14,26
1554112800000,15,10,7,25,,18,6,12,,14,16,15,30,13,20,13,17,13,15,8
1556704800000,10,11,9,25,,12,11,11,,18,8,9,38,17,16,15,25,11,8,25
1559383200000,13,21,8,34,,10,12,14,,28,12,16,57,10,19,19,40,21,10,27
1561975200000,7,20,6,25,,8,13,14,,14,8,14,49,13,12,15,32,19,15,16
1564653600000,14,13,8,14,,12,15,12,,24,8,16,51,18,6,10,39,25,9,26
1567332000000,23,10,11,32,,8,9,10,,32,14,14,36,20,10,16,25,13,8,16
1569924000000,6,10,14,27,,15,4,16,,13,6,13,32,9,14,8,23,12,12,20
1572602400000,13,13,9,30,,15,7,14,,16,7,6,28,11,14,15,31,15,16,14
1575194400000,33,24,32,57,,35,26,32,,40,17,32,71,27,29,44,64,31,40,74
1577872800000,16,9,14,26,,11,5,11,,19,9,14,28,14,16,21,35,15,14,28
1580551200000,12,9,8,30,3,9,11,9,,15,6,12,33,13,10,10,31,17,14,14
1583056800000,21,13,13,41,5,14,5,17,,27,8,18,44,20,16,26,47,22,14,49
1585735200000,17,9,6,18,27,15,8,8,9,21,5,11,32,14,10,9,22,18,8,17
1588327200000,13,8,12,19,41,13,4,12,13,18,8,12,23,9,15,7,18,7,12,18
1591005600000,21,10,12,29,44,18,17,18,11,29,9,10,40,8,21,16,31,20,22,26
1593597600000,23,8,10,29,38,15,9,13,28,29,9,10,32,9,12,13,27,11,14,19
1596276000000,16,8,16,23,47,8,10,14,31,22,2,13,28,13,10,19,16,13,11,13
1598954400000,15,11,18,41,55,18,10,15,32,16,7,8,24,11,17,14,26,12,9,15
1601546400000,14,9,16,26,40,19,10,18,45,18,8,6,30,8,10,15,26,10,15,25
1604224800000,14,9,10,21,47,10,7,8,30,14,4,10,32,15,8,7,19,12,11,18
1606816800000,40,15,31,64,79,22,27,48,71,42,25,30,58,24,35,36,64,21,28,44
1609495200000,13,5,19,21,37,12,10,8,47,14,6,10,33,10,10,10,20,17,15,11
1612173600000,10,8,11,19,40,15,10,6,40,19,14,8,36,9,13,8,15,14,10,12
1614592800000,9,9,19,21,56,17,14,19,65,22,7,15,52,15,13,20,30,17,16,24
1617271200000,20,11,11,27,67,14,9,13,65,17,9,11,40,17,14,19,25,12,4,15
1619863200000,19,8,11,27,59,4,12,10,74,11,11,11,45,19,11,8,24,16,9,14
1622541600000,23,8,9,47,57,20,16,16,93,26,9,15,48,20,18,18,42,13,18,26
1625133600000,27,13,14,34,50,11,14,16,44,17,6,14,39,17,22,18,27,16,19,21
1627812000000,15,4,13,25,45,15,14,11,58,14,10,14,42,14,13,13,25,15,18,24
1630490400000,12,8,7,26,43,13,16,12,72,16,11,13,37,22,18,15,28,19,13,24
1633082400000,8,7,11,22,51,4,11,8,52,10,6,12,31,17,15,14,22,10,13,19
1635760800000,17,9,5,21,26,17,13,7,43,18,6,10,40,25,8,7,16,12,15,15
1638352800000,32,23,28,62,78,36,24,36,128,37,23,22,70,18,47,33,64,42,32,66
1641031200000,9,11,7,27,48,21,10,14,49,16,3,11,33,18,8,9,19,11,13,23
1643709600000,11,10,9,23,37,10,12,10,41,12,6,16,35,12,6,12,25,14,10,22
1646128800000,21,9,11,36,58,20,16,21,60,17,5,19,47,17,20,14,24,17,15,14
1648807200000,17,10,6,24,50,16,15,16,41,21,7,9,44,15,14,10,24,20,12,15
1651399200000,19,10,12,27,50,18,13,17,46,20,9,14,47,7,10,16,27,14,18,25
1654077600000,28,9,26,39,70,28,13,13,41,25,13,13,43,13,17,19,25,20,10,28
1656669600000,25,6,12,32,60,13,14,14,32,23,10,12,47,16,13,7,31,22,20,28
1659348000000,18,7,9,34,41,13,8,10,40,16,11,21,44,18,15,15,18,12,22,24
1662026400000,18,11,13,29,48,18,24,16,46,19,11,16,47,15,11,15,25,19,12,30
1664618400000,21,7,8,30,37,17,16,12,28,19,9,15,39,10,16,11,30,19,14,24
1667296800000,17,9,10,34,45,14,22,13,19,16,6,12,44,14,15,10,23,24,10,23
1669888800000,43,23,36,75,107,35,38,46,72,59,22,36,79,26,37,53,90,46,46,68
1672567200000,14,10,9,26,41,9,8,10,28,14,6,9,42,15,22,14,24,12,21,22
1675245600000,11,12,5,31,44,9,11,13,26,14,8,17,34,13,11,10,19,19,10,22
1677664800000,13,6,11,41,55,22,20,16,21,15,9,16,48,18,15,17,28,22,20,21
1680343200000,19,10,12,46,44,18,9,12,22,25,7,17,42,19,11,16,22,12,17,25
1682935200000,19,6,13,29,54,12,9,15,13,17,11,21,45,13,15,14,39,23,10,24
1685613600000,34,18,14,49,54,20,27,17,25,27,13,26,52,16,20,28,41,27,26,39
1688205600000,27,15,15,22,37,14,9,11,17,32,12,23,46,14,10,14,23,22,13,25
1690884000000,26,15,17,33,44,16,23,13,9,24,6,10,47,13,14,7,31,21,10,27
1693562400000,26,10,11,33,29,19,13,23,10,25,10,19,34,16,22,18,24,21,12,30
1696154400000,22,13,12,34,25,16,8,12,10,15,5,18,38,14,8,18,31,21,16,29
1698832800000,15,11,12,31,32,17,12,20,9,24,8,13,33,9,13,10,27,19,13,25
